dateTime,temperature,humidity
2019-01-30 07:13:34.857993,22.94,29.77
2019-01-30 07:13:42.209218,22.93,29.72
2019-01-30 07:13:49.562239,22.91,29.76
2019-01-30 07:13:56.915259,22.94,29.74
2019-01-30 07:14:04.262371,22.93,29.72
2019-01-30 07:14:11.610470,22.94,29.61
2019-01-30 07:14:18.962523,22.90,29.56
2019-01-30 07:14:26.314528,22.91,29.74
2019-01-30 07:14:33.669565,22.92,29.75
2019-01-30 07:14:41.022624,22.90,29.67
2019-01-30 07:14:48.375666,22.88,29.72
2019-01-30 07:14:55.723793,22.88,29.90
2019-01-30 07:15:03.075899,22.90,29.90
2019-01-30 07:15:10.425947,22.88,29.81
2019-01-30 07:15:17.775044,22.88,29.74
2019-01-30 07:15:25.124094,22.87,29.80
2019-01-30 07:15:32.474056,22.86,29.87
2019-01-30 07:15:39.826199,22.87,30.00
2019-01-30 07:15:47.177209,22.86,29.90
2019-01-30 07:15:54.525269,22.88,29.92
2019-01-30 07:16:01.875364,22.86,29.95
2019-01-30 07:16:09.227351,22.85,30.03
2019-01-30 07:16:16.576557,22.82,30.00
2019-01-30 07:16:23.928621,22.84,30.00
2019-01-30 07:16:31.276647,22.81,30.01
2019-01-30 07:16:38.625698,22.81,30.15
2019-01-30 07:16:45.973761,22.81,30.08
2019-01-30 07:16:53.322834,22.79,30.02
2019-01-30 07:17:00.674940,22.79,30.12
2019-01-30 07:17:08.021924,22.79,30.19
2019-01-30 07:17:15.371963,22.79,30.08
2019-01-30 07:17:22.721033,22.79,30.04
2019-01-30 07:17:30.072218,22.76,30.03
2019-01-30 07:17:37.418286,22.78,30.10
2019-01-30 07:17:44.763294,22.79,30.06
2019-01-30 07:17:52.113363,22.80,30.06
2019-01-30 07:17:59.461374,22.82,30.06
2019-01-30 07:18:06.813426,22.85,30.15
2019-01-30 07:18:14.168506,22.86,30.06
2019-01-30 07:18:21.521605,22.87,30.10
2019-01-30 07:18:28.872622,22.86,30.01
2019-01-30 07:18:36.219665,22.90,30.09
2019-01-30 07:18:43.571849,22.90,30.04
2019-01-30 07:18:50.921900,22.88,30.02
2019-01-30 07:18:58.270977,22.90,30.10
2019-01-30 07:19:05.618006,22.93,30.15
2019-01-30 07:19:12.969033,22.94,30.06
2019-01-30 07:19:20.317101,22.96,30.06
2019-01-30 07:19:27.667178,22.95,29.93
2019-01-30 07:19:35.015225,22.96,29.88
2019-01-30 07:19:42.367246,22.95,29.77
2019-01-30 07:19:49.717417,22.93,29.68
2019-01-30 07:19:57.068476,22.95,29.81
2019-01-30 07:20:04.417531,22.95,29.79
2019-01-30 07:20:11.763580,22.95,29.80
2019-01-30 07:20:19.112623,22.96,29.78
2019-01-30 07:20:26.458725,22.96,29.70
2019-01-30 07:20:33.805801,22.96,29.72
2019-01-30 07:20:41.157796,22.98,29.74
2019-01-30 07:20:48.502885,22.95,29.67
2019-01-30 07:20:55.854022,22.96,29.72
2019-01-30 07:21:03.202126,22.98,29.82
2019-01-30 07:21:10.551145,22.95,29.68
2019-01-30 07:21:17.898209,22.96,29.78
2019-01-30 07:21:25.244218,22.97,29.80
2019-01-30 07:21:32.595286,22.97,29.81
2019-01-30 07:21:39.946313,22.97,29.69
2019-01-30 07:21:47.290412,22.98,29.77
2019-01-30 07:21:54.642461,22.96,29.80
2019-01-30 07:22:01.995633,22.98,29.82
2019-01-30 07:22:09.347695,22.97,29.76
2019-01-30 07:22:16.694752,22.97,29.69
2019-01-30 07:22:24.045781,22.98,29.80
2019-01-30 07:22:31.393817,22.96,29.74
