dateTime,timestamp,latitude,latitudeDirection,longitude,longitudeDirection,gpsQuality,numberOfSatellites,HorizontalDilution,altitude,altitudeUnits,undulation,undulationUnits,age,stationID
2019-01-30 06:57:15.561376,06:57:13,3259.05996,N,09645.26472,W,1,08,1.15,208.6,M,-25.3,M,,
2019-01-30 06:57:26.556450,06:57:24,3259.06014,N,09645.26438,W,1,09,1.11,209.2,M,-25.3,M,,
2019-01-30 06:57:37.553315,06:57:35,3259.06053,N,09645.26398,W,1,09,1.11,208.7,M,-25.3,M,,
2019-01-30 06:57:48.552012,06:57:46,3259.06074,N,09645.26354,W,1,09,1.11,207.5,M,-25.3,M,,
2019-01-30 06:57:59.552606,06:57:57,3259.06109,N,09645.26275,W,1,09,1.11,207.3,M,-25.3,M,,
2019-01-30 06:58:10.551152,06:58:08,3259.06103,N,09645.26189,W,1,08,1.20,207.9,M,-25.3,M,,
2019-01-30 06:58:21.548838,06:58:19,3259.06097,N,09645.26153,W,1,08,1.20,208.0,M,-25.3,M,,
2019-01-30 06:58:32.546929,06:58:30,3259.06106,N,09645.26081,W,1,07,1.47,209.4,M,-25.3,M,,
2019-01-30 06:58:43.549672,06:58:41,3259.06139,N,09645.26164,W,1,09,1.20,208.3,M,-25.3,M,,
2019-01-30 06:58:54.550292,06:58:52,3259.06135,N,09645.26246,W,1,08,1.13,206.5,M,-25.3,M,,
2019-01-30 06:59:05.551980,06:59:03,3259.06225,N,09645.26295,W,1,08,1.20,206.1,M,-25.3,M,,
2019-01-30 06:59:16.548957,06:59:14,3259.06285,N,09645.26129,W,1,08,1.20,210.1,M,-25.3,M,,
2019-01-30 06:59:27.546049,06:59:25,3259.06301,N,09645.26040,W,1,07,1.20,213.1,M,-25.3,M,,
2019-01-30 06:59:38.551934,06:59:36,3259.06195,N,09645.26101,W,1,08,1.13,209.9,M,-25.3,M,,
2019-01-30 06:59:49.550756,06:59:47,3259.06112,N,09645.26238,W,1,09,1.12,205.5,M,-25.3,M,,
2019-01-30 07:00:00.552761,06:59:58,3259.06036,N,09645.26340,W,1,09,1.12,201.9,M,-25.3,M,,
2019-01-30 07:00:11.550620,07:00:09,3259.05959,N,09645.26389,W,1,08,1.13,199.4,M,-25.3,M,,
2019-01-30 07:00:22.548877,07:00:20,3259.05925,N,09645.26350,W,1,09,1.12,198.8,M,-25.3,M,,
2019-01-30 07:00:33.547229,07:00:31,3259.05893,N,09645.26379,W,1,08,1.21,197.7,M,-25.3,M,,
2019-01-30 07:00:44.547789,07:00:42,3259.05877,N,09645.26457,W,1,08,1.21,196.8,M,-25.3,M,,
2019-01-30 07:00:55.547188,07:00:53,3259.05882,N,09645.26488,W,1,07,1.21,196.5,M,-25.3,M,,
2019-01-30 07:01:06.548853,07:01:04,3259.05853,N,09645.26552,W,1,08,1.21,196.8,M,-25.3,M,,
2019-01-30 07:01:17.550663,07:01:15,3259.05839,N,09645.26514,W,1,08,1.21,196.9,M,-25.3,M,,
2019-01-30 07:01:28.553282,07:01:26,3259.05807,N,09645.26608,W,1,08,1.14,195.9,M,-25.3,M,,
2019-01-30 07:01:39.552494,07:01:37,3259.05776,N,09645.26589,W,2,09,1.12,195.5,M,-25.3,M,,0000
2019-01-30 07:01:50.552859,07:01:48,3259.05684,N,09645.26683,W,2,09,1.12,194.0,M,-25.3,M,,0000
2019-01-30 07:02:01.552608,07:01:59,3259.05618,N,09645.26757,W,2,09,1.12,194.6,M,-25.3,M,,0000
2019-01-30 07:02:12.551214,07:02:10,3259.05592,N,09645.26793,W,2,09,1.12,194.0,M,-25.3,M,,0000
2019-01-30 07:02:23.551962,07:02:21,3259.05565,N,09645.26748,W,2,09,1.12,193.7,M,-25.3,M,,0000
2019-01-30 07:02:34.552483,07:02:32,3259.05510,N,09645.26756,W,2,09,1.12,191.8,M,-25.3,M,,0000
2019-01-30 07:02:45.552387,07:02:43,3259.05492,N,09645.26778,W,2,09,1.12,192.7,M,-25.3,M,,0000
2019-01-30 07:02:56.551933,07:02:54,3259.05506,N,09645.26770,W,2,09,1.12,192.5,M,-25.3,M,,0000
2019-01-30 07:03:07.551823,07:03:05,3259.05481,N,09645.26781,W,2,09,1.12,191.9,M,-25.3,M,,0000
2019-01-30 07:03:18.556149,07:03:16,3259.05472,N,09645.26740,W,2,09,1.12,194.1,M,-25.3,M,,0000
2019-01-30 07:03:29.552568,07:03:27,3259.05502,N,09645.26700,W,2,09,1.12,197.9,M,-25.3,M,,0000
2019-01-30 07:03:40.551250,07:03:38,3259.05460,N,09645.26691,W,2,09,1.12,199.8,M,-25.3,M,,0000
2019-01-30 07:03:51.568965,07:03:49,3259.05475,N,09645.26665,W,2,09,1.12,201.2,M,-25.3,M,,0000
2019-01-30 07:04:02.551956,07:04:00,3259.05507,N,09645.26656,W,2,09,1.12,202.4,M,-25.3,M,,0000
2019-01-30 07:04:13.553296,07:04:11,3259.05556,N,09645.26645,W,2,09,1.12,203.4,M,-25.3,M,,0000
2019-01-30 07:04:24.552262,07:04:22,3259.05662,N,09645.26629,W,2,09,1.12,204.2,M,-25.3,M,,0000
2019-01-30 07:04:35.551868,07:04:33,3259.05704,N,09645.26593,W,2,09,1.12,205.5,M,-25.3,M,,0000
2019-01-30 07:04:46.552789,07:04:44,3259.05747,N,09645.26604,W,2,09,1.12,204.7,M,-25.3,M,,0000
2019-01-30 07:04:57.553409,07:04:55,3259.05797,N,09645.26665,W,2,09,1.12,203.2,M,-25.3,M,,0000
2019-01-30 07:05:08.552942,07:05:06,3259.05785,N,09645.26622,W,2,09,1.12,202.6,M,-25.3,M,,0000
2019-01-30 07:05:19.550911,07:05:17,3259.05742,N,09645.26568,W,2,09,1.12,201.6,M,-25.3,M,,0000
2019-01-30 07:05:30.549709,07:05:28,3259.05765,N,09645.26587,W,2,07,1.19,201.0,M,-25.3,M,,0000
2019-01-30 07:05:41.551281,07:05:39,3259.05783,N,09645.26669,W,2,09,1.12,200.5,M,-25.3,M,,0000
2019-01-30 07:05:52.551583,07:05:50,3259.05795,N,09645.26798,W,2,09,1.12,198.7,M,-25.3,M,,0000
2019-01-30 07:08:06.810163,07:08:03,3259.05768,N,09645.26546,W,1,09,1.12,202.7,M,-25.3,M,,
2019-01-30 07:08:17.798037,07:08:14,3259.05843,N,09645.26463,W,1,09,1.12,205.0,M,-25.3,M,,
2019-01-30 07:08:28.798987,07:08:25,3259.05746,N,09645.26529,W,1,09,1.12,201.3,M,-25.3,M,,
2019-01-30 07:08:39.799108,07:08:36,3259.05692,N,09645.26502,W,1,09,1.12,203.0,M,-25.3,M,,
2019-01-30 07:08:50.802298,07:08:47,3259.05718,N,09645.26499,W,1,09,1.12,202.4,M,-25.3,M,,
2019-01-30 07:09:01.799458,07:08:58,3259.05722,N,09645.26582,W,1,09,1.12,201.0,M,-25.3,M,,
2019-01-30 07:09:12.800144,07:09:09,3259.05726,N,09645.26632,W,1,09,1.12,201.4,M,-25.3,M,,
2019-01-30 07:09:23.799605,07:09:20,3259.05715,N,09645.26690,W,1,09,1.12,202.5,M,-25.3,M,,
2019-01-30 07:09:34.800561,07:09:31,3259.05700,N,09645.26706,W,1,09,1.12,203.2,M,-25.3,M,,
2019-01-30 07:09:45.801632,07:09:42,3259.05714,N,09645.26830,W,1,09,1.12,202.1,M,-25.3,M,,
2019-01-30 07:09:56.799501,07:09:53,3259.05795,N,09645.26895,W,1,09,1.12,200.6,M,-25.3,M,,
2019-01-30 07:10:07.799573,07:10:04,3259.05783,N,09645.26808,W,1,09,1.12,200.2,M,-25.3,M,,
2019-01-30 07:10:18.796334,07:10:15,3259.05789,N,09645.26673,W,1,08,1.38,202.9,M,-25.3,M,,
2019-01-30 07:10:29.800881,07:10:26,3259.05807,N,09645.26699,W,1,09,1.12,202.0,M,-25.3,M,,
2019-01-30 07:10:40.801320,07:10:37,3259.05814,N,09645.26673,W,1,09,1.12,202.7,M,-25.3,M,,
2019-01-30 07:10:51.797584,07:10:48,3259.05808,N,09645.26586,W,1,09,1.38,205.2,M,-25.3,M,,
2019-01-30 07:11:02.799202,07:10:59,3259.05803,N,09645.26553,W,1,09,1.12,206.3,M,-25.3,M,,
2019-01-30 07:11:13.800772,07:11:10,3259.05823,N,09645.26546,W,1,09,1.12,206.0,M,-25.3,M,,
2019-01-30 07:11:24.801324,07:11:21,3259.05810,N,09645.26474,W,1,09,1.12,207.3,M,-25.3,M,,
2019-01-30 07:11:35.800036,07:11:32,3259.05822,N,09645.26579,W,1,09,1.12,206.4,M,-25.3,M,,
2019-01-30 07:11:46.796979,07:11:43,3259.05847,N,09645.26649,W,1,08,1.30,204.4,M,-25.3,M,,
2019-01-30 07:11:57.798461,07:11:54,3259.05889,N,09645.26707,W,1,08,1.16,203.4,M,-25.3,M,,
2019-01-30 07:12:08.797521,07:12:05,3259.05878,N,09645.26699,W,1,08,1.16,202.6,M,-25.3,M,,
2019-01-30 07:12:19.799729,07:12:16,3259.05928,N,09645.26586,W,1,08,1.16,205.5,M,-25.3,M,,
2019-01-30 07:12:30.803639,07:12:27,3259.05916,N,09645.26532,W,1,09,1.12,205.5,M,-25.3,M,,
2019-01-30 07:12:41.809596,07:12:38,3259.05925,N,09645.26480,W,1,09,1.12,205.2,M,-25.3,M,,
2019-01-30 07:12:52.800433,07:12:49,3259.05922,N,09645.26433,W,1,09,1.12,207.6,M,-25.3,M,,
