dateTime,temperature,pressure
2019-01-30 07:13:00.117242,23.75,100161.52
2019-01-30 07:13:07.464415,23.75,100162.00
2019-01-30 07:13:14.810416,23.75,100156.02
2019-01-30 07:13:22.157523,23.75,100156.69
2019-01-30 07:13:29.508566,23.75,100154.02
2019-01-30 07:13:36.859622,23.76,100154.14
2019-01-30 07:13:44.210713,23.75,100155.18
2019-01-30 07:13:51.563829,23.77,100158.12
2019-01-30 07:13:58.916775,23.77,100157.29
2019-01-30 07:14:06.263792,23.76,100156.46
2019-01-30 07:14:13.611935,23.75,100155.02
2019-01-30 07:14:20.964077,23.74,100154.70
2019-01-30 07:14:28.316111,23.75,100154.02
2019-01-30 07:14:35.671209,23.75,100157.34
2019-01-30 07:14:43.024244,23.73,100154.89
2019-01-30 07:14:50.377228,23.72,100153.27
2019-01-30 07:14:57.725306,23.73,100155.22
2019-01-30 07:15:05.077378,23.71,100153.29
2019-01-30 07:15:12.427549,23.70,100153.12
2019-01-30 07:15:19.776489,23.68,100153.53
2019-01-30 07:15:27.125530,23.69,100153.98
2019-01-30 07:15:34.475676,23.69,100153.81
2019-01-30 07:15:41.827722,23.68,100151.86
2019-01-30 07:15:49.178865,23.69,100152.02
2019-01-30 07:15:56.526958,23.66,100150.23
2019-01-30 07:16:03.876951,23.64,100152.46
2019-01-30 07:16:11.228994,23.63,100151.64
2019-01-30 07:16:18.578043,23.63,100149.81
2019-01-30 07:16:25.930135,23.63,100153.19
2019-01-30 07:16:33.278299,23.62,100147.88
2019-01-30 07:16:40.627235,23.62,100152.04
2019-01-30 07:16:47.975273,23.61,100155.05
2019-01-30 07:16:55.324429,23.59,100151.61
2019-01-30 07:17:02.676529,23.60,100151.06
2019-01-30 07:17:10.023518,23.58,100147.97
2019-01-30 07:17:17.373569,23.60,100145.78
2019-01-30 07:17:24.722666,23.58,100148.30
2019-01-30 07:17:32.073689,23.62,100150.71
2019-01-30 07:17:39.419845,23.62,100150.88
2019-01-30 07:17:46.764784,23.63,100149.20
2019-01-30 07:17:54.114895,23.63,100149.66
2019-01-30 07:18:01.462952,23.63,100148.81
2019-01-30 07:18:08.815106,23.64,100146.63
2019-01-30 07:18:16.170149,23.65,100147.45
2019-01-30 07:18:23.523207,23.67,100143.72
2019-01-30 07:18:30.874229,23.67,100146.89
2019-01-30 07:18:38.221258,23.66,100140.25
2019-01-30 07:18:45.573391,23.67,100142.56
2019-01-30 07:18:52.923493,23.68,100145.38
2019-01-30 07:19:00.272573,23.68,100143.05
2019-01-30 07:19:07.619641,23.69,100144.03
2019-01-30 07:19:14.970732,23.68,100146.88
2019-01-30 07:19:22.318733,23.67,100147.05
2019-01-30 07:19:29.668761,23.69,100144.70
2019-01-30 07:19:37.016823,23.67,100143.89
2019-01-30 07:19:44.368861,23.69,100146.66
2019-01-30 07:19:51.718940,23.69,100146.03
2019-01-30 07:19:59.069969,23.70,100146.64
2019-01-30 07:20:06.419068,23.70,100147.31
2019-01-30 07:20:13.765105,23.68,100145.70
2019-01-30 07:20:21.114279,23.68,100143.55
2019-01-30 07:20:28.460292,23.68,100146.05
2019-01-30 07:20:35.807376,23.68,100143.89
2019-01-30 07:20:43.159412,23.68,100143.05
2019-01-30 07:20:50.504449,23.68,100144.70
2019-01-30 07:20:57.855517,23.67,100141.56
2019-01-30 07:21:05.203574,23.69,100145.66
2019-01-30 07:21:12.552614,23.68,100143.39
2019-01-30 07:21:19.899658,23.68,100144.20
2019-01-30 07:21:27.245830,23.68,100141.55
2019-01-30 07:21:34.596895,23.68,100142.88
2019-01-30 07:21:41.947942,23.68,100142.39
2019-01-30 07:21:49.292039,23.68,100140.72
2019-01-30 07:21:56.644034,23.68,100139.38
2019-01-30 07:22:03.997110,23.67,100146.05
2019-01-30 07:22:11.349161,23.68,100142.55
2019-01-30 07:22:18.696265,23.67,100141.73
2019-01-30 07:22:26.047398,23.67,100147.05
2019-01-30 07:22:33.395434,23.67,100145.05
